Plot ID,no_of_images,total_pod_count,average_pod_count,wt
0-101,37,4979,134.5675676,2.37
0-102,42,7934,188.9047619,2.6
0-103,50,7071,141.42,3.22
0-104,46,6925,150.5434783,2.7
0-105,48,9271,193.1458333,3.33
0-106,44,6462,146.8636364,2.65
0-107,38,5249,138.1315789,2.88
0-108,45,7560,168,2.55
0-109,59,10250,173.7288136,2.57
0-110,38,5728,150.7368421,2.86
0-111,45,6000,133.3333333,2.51
0-112,38,4336,114.1052632,2.59
0-113,51,9936,194.8235294,3.1
0-114,45,5336,118.5777778,2.78
0-201,30,4502,150.0666667,2.58
0-202,47,4149,88.27659574,2.54
0-203,51,9593,188.0980392,2.65
0-204,48,6971,145.2291667,2.83
0-205,44,6436,146.2727273,2.37
0-206,45,7544,167.6444444,2.73
0-207,38,5022,132.1578947,2.7
0-208,47,7761,165.1276596,2.63
0-209,42,3531,84.07142857,2.53
0-210,39,5957,152.7435897,3
0-211,36,3542,98.38888889,2.58
0-212,41,5134,125.2195122,2.88
0-213,52,6710,129.0384615,3.15
0-214,46,6299,136.9347826,2.5
0-301,45,4849,107.7555556,2.36
0-302,39,6526,167.3333333,2.89
0-303,46,6354,138.1304348,2.45
0-304,48,6453,134.4375,2.78
0-305,44,5476,124.4545455,2.8
0-306,49,8777,179.122449,2.71
0-307,54,7562,140.037037,2.79
0-308,53,6702,126.4528302,2.21
0-309,43,7529,175.0930233,2.59
0-310,42,6173,146.9761905,2.48
0-311,39,5623,144.1794872,2.5
0-312,40,5956,148.9,2.94
0-313,49,7550,154.0816327,2.57
0-314,43,8110,188.6046512,2.71
1-101,44,4769,108.3863636,2.41
1-102,53,7332,138.3396226,2.43
1-103,44,7170,162.9545455,3.22
1-104,40,7381,184.525,3.25
1-105,50,7783,155.66,2.55
1-106,43,7073,164.4883721,2.81
1-107,41,7517,183.3414634,2.45
1-108,47,8050,171.2765957,2.52
1-109,41,5648,137.7560976,2.43
1-110,42,4965,118.2142857,2.42
1-111,50,4492,89.84,2.5
1-201,46,6365,138.3695652,2.29
1-202,41,8065,196.7073171,2.73
1-203,46,7152,155.4782609,2.83
1-204,47,7400,157.4468085,2.31
1-205,47,8102,172.3829787,2.39
1-206,44,6764,153.7272727,2.83
1-207,55,4640,84.36363636,2.45
1-208,45,7125,158.3333333,2.5
1-209,44,5797,131.75,2.52
1-210,48,6441,134.1875,2.56
1-211,46,4986,108.3913043,2.43
1-301,57,7128,125.0526316,2.77
1-302,45,7637,169.7111111,2.53
1-303,46,8108,176.2608696,2.51
1-304,40,6950,173.75,2.7
1-305,51,5478,107.4117647,2.34
1-306,47,7135,151.8085106,2.61
1-307,46,4405,95.76086957,2.62
1-308,47,3894,82.85106383,2.68
1-309,41,6133,149.5853659,2.98
1-310,44,7654,173.9545455,2.76
1-311,47,9352,198.9787234,3.01
2-101,38,4261,112.1315789,3.22
2-102,44,6481,147.2954545,2.48
2-103,45,8336,185.2444444,2.72
2-104,44,6884,156.4545455,2.73
2-105,41,7163,174.7073171,2.7
2-106,40,6124,153.1,2.54
2-201,51,8665,169.9019608,2.67
2-202,43,6502,151.2093023,2.51
2-203,42,7446,177.2857143,2.31
2-204,38,3701,97.39473684,2.5
2-205,45,8598,191.0666667,2.67
2-206,35,5899,168.5428571,2.57
2-301,53,11207,211.4528302,2.63
2-302,42,6971,165.9761905,2.91
2-303,37,5741,155.1621622,2.48
2-304,37,5866,158.5405405,2.76
2-305,44,6012,136.6363636,2.74
2-306,37,3518,95.08108108,2.32
3-101,45,5409,120.2,2.94
3-102,38,5352,140.8421053,2.29
3-103,30,4934,164.4666667,2.6
3-104,29,4550,156.8965517,2.68
3-105,38,6218,163.6315789,2.52
3-106,40,3853,96.325,2.75
3-107,36,4527,125.75,2.8
3-108,32,5497,171.78125,2.87
3-109,38,6015,158.2894737,2.58
3-110,46,4884,106.173913,2.47
3-111,45,6809,151.3111111,3.05
3-112,41,4023,98.12195122,2.68
3-113,35,4605,131.5714286,3.05
3-114,36,6019,167.1944444,2.29
3-115,39,6850,175.6410256,2.92
3-201,42,5250,125,2.62
3-202,39,6325,162.1794872,2.34
3-203,35,6038,172.5142857,2.3
3-204,37,6483,175.2162162,2.58
3-205,41,5231,127.5853659,2.64
3-206,36,6209,172.4722222,2.74
3-207,43,4934,114.744186,2.72
3-208,36,3025,84.02777778,2.5
3-209,44,7287,165.6136364,2.91
3-210,37,4678,126.4324324,2.34
3-211,44,7798,177.2272727,2.56
3-212,37,5032,136,2.56
3-213,35,6384,182.4,2.37
3-214,37,5912,159.7837838,2.71
3-215,36,5730,159.1666667,2.85
3-301,41,4101,100.0243902,2.51
3-302,42,7458,177.5714286,2.64
3-303,40,2943,73.575,2.47
3-304,29,2932,101.1034483,3.14
3-305,35,6084,173.8285714,3
3-306,45,4637,103.0444444,3.03
3-307,39,3803,97.51282051,2.97
3-308,41,6346,154.7804878,2.32
3-309,37,3632,98.16216216,2.74
3-310,46,7492,162.8695652,2.65
3-311,44,8631,196.1590909,2.74
3-312,33,5399,163.6060606,2.92
3-313,36,5208,144.6666667,2.65
3-314,33,3995,121.0606061,2.42
3-315,36,6326,175.7222222,2.81
4-101,31,3631,117.1290323,2.23
4-102,43,4013,93.3255814,2.57
4-103,51,9803,192.2156863,2.22
4-104,44,6188,140.6363636,1.9
4-105,43,5479,127.4186047,0.19
4-106,40,7265,181.625,2.1
4-107,41,4885,119.1463415,2.31
4-108,36,4766,132.3888889,2.28
4-109,43,4596,106.8837209,2.3
4-110,26,3745,144.0384615,2.61
4-111,29,5563,191.8275862,1.98
4-112,45,5637,125.2666667,2.25
4-113,43,6961,161.8837209,2.7
4-114,39,3703,94.94871795,2.94
4-115,33,5843,177.0606061,2.61
4-116,46,5765,125.326087,2.24
4-118,32,3137,98.03125,2.26
4-119,37,5824,157.4054054,2.6
4-201,26,3657,140.6538462,2.91
4-202,32,6183,193.21875,2.06
4-203,36,3617,100.4722222,3.14
4-204,44,5772,131.1818182,3.01
4-205,33,5920,179.3939394,2.89
4-206,39,5814,149.0769231,2.41
4-207,44,5660,128.6363636,2.6
4-208,38,5368,141.2631579,2.69
4-209,38,5385,141.7105263,3.15
4-210,31,5859,189,2.79
4-211,32,5292,165.375,2.22
4-212,37,5797,156.6756757,2.69
4-213,38,3549,93.39473684,2.89
4-214,41,5899,143.8780488,1.98
4-215,39,6353,162.8974359,2.47
4-216,46,4134,89.86956522,2.84
4-217,39,6452,165.4358974,3.04
4-218,37,5050,136.4864865,2.37
4-219,40,5457,136.425,2.53
4-301,33,5898,178.7272727,2.14
4-302,43,6519,151.6046512,2.8
4-303,35,5230,149.4285714,2.98
4-304,39,5720,146.6666667,2.51
4-305,39,8524,218.5641026,2.92
4-306,40,6049,151.225,2.6
4-307,43,4728,109.9534884,2.45
4-308,39,4589,117.6666667,2.44
4-309,44,7357,167.2045455,2.24
4-310,35,5649,161.4,2.63
4-311,36,6676,185.4444444,2.44
4-312,34,4371,128.5588235,3.18
4-313,42,6244,148.6666667,2.76
4-314,49,8429,172.0204082,2.45
4-315,40,6076,151.9,2.31
4-316,39,5897,151.2051282,2.64
4-317,48,5702,118.7916667,2.78
4-318,42,6197,147.547619,2.19
4-319,41,5730,139.7560976,2.57
5-101,39,3517,90.17948718,2.75
5-102,39,4800,123.0769231,2.33
5-103,52,4000,76.92307692,2.39
5-104,45,5105,113.4444444,2.33
5-105,44,6586,149.6818182,1.93
5-106,49,7635,155.8163265,2.52
5-107,36,4827,134.0833333,2.42
4-108,39,6590,168.974359,2.73
5-109,39,5494,140.8717949,2.95
5-110,36,4258,118.2777778,2.45
5-201,39,4455,114.2307692,2.29
5-202,39,6067,155.5641026,2.76
5-203,35,5462,156.0571429,2.72
5-204,46,7638,166.0434783,1.98
5-205,37,6355,171.7567568,2.79
5-206,37,6094,164.7027027,2.43
5-207,44,6188,140.6363636,2.7
5-208,38,5553,146.1315789,2.41
5-209,41,4647,113.3414634,2.46
5-210,42,3727,88.73809524,2.75
5-301,32,4409,137.78125,2.12
5-302,37,6620,178.9189189,2.65
5-303,35,6491,185.4571429,2.39
5-304,41,5250,128.0487805,2.49
5-305,32,2960,92.5,2.76
5-306,37,5764,155.7837838,2.89
5-307,41,6067,147.9756098,2.67
5-308,42,6303,150.0714286,3.11
5-309,44,5902,134.1363636,2.28
5-310,36,5833,162.0277778,2.82
6-101,41,6198,151.1707317,2.48
6-102,32,4323,135.09375,2.5
6-103,39,5948,152.5128205,2.72
6-104,39,3744,96,2.59
6-105,33,5092,154.3030303,3.05
6-106,35,3841,109.7428571,3.15
6-107,39,5786,148.3589744,2.84
6-108,32,5239,163.71875,3.07
6-109,32,6459,201.84375,3.07
6-110,39,6310,161.7948718,2.84
6-111,40,6929,173.225,2.93
6-112,34,6115,179.8529412,3.02
6-113,36,5783,160.6388889,2.92
6-114,38,3791,99.76315789,2.91
6-115,33,5502,166.7272727,2.84
6-116,33,5126,155.3333333,2.67
6-117,44,4274,97.13636364,2.92
6-201,34,3919,115.2647059,2.8
6-202,43,5669,131.8372093,2.67
6-203,39,5982,153.3846154,2.87
6-204,38,6537,172.0263158,2.41
6-205,34,3521,103.5588235,2.71
6-206,35,6296,179.8857143,2.66
6-207,34,4013,118.0294118,2.62
6-208,35,4245,121.2857143,2.82
6-209,32,5121,160.03125,3.04
6-210,35,4593,131.2285714,2.96
6-211,35,6056,173.0285714,3.05
6-212,38,5025,132.2368421,2.59
6-213,34,4236,124.5882353,2.81
6-214,40,5620,140.5,2.58
6-215,32,3903,121.96875,2.61
6-216,36,5458,151.6111111,2.52
6-217,30,4918,163.9333333,2.87
6-301,33,4244,128.6060606,2.51
6-302,31,3143,101.3870968,2.73
6-303,38,6789,178.6578947,2.47
6-304,36,4148,115.2222222,2.8
6-305,35,6068,173.3714286,2.7
6-306,41,5805,141.5853659,2.43
6-307,40,5737,143.425,2.88
6-308,36,3941,109.4722222,2.66
6-309,37,5520,149.1891892,2.93
6-310,34,5776,169.8823529,3.41
6-311,33,5527,167.4848485,3.07
6-312,30,4295,143.1666667,2.98
6-313,45,4077,90.6,3.15
6-314,33,6382,193.3939394,3.1
6-315,31,2593,83.64516129,2.92
6-316,37,6173,166.8378378,3.16
6-317,37,3969,107.2702703,2.92
8-101,33,3831,116.0909091,2.79
8-102,192,25031,130.3697917,2.3
8-103,113,17535,155.1769912,2.77
8-104,45,7270,161.5555556,2.63
8-105,38,7266,191.2105263,2.74
8-106,47,5287,112.4893617,2.76
8-107,54,8153,150.9814815,2.34
8-108,32,4016,125.5,2.28
8-109,38,6124,161.1578947,2.58
8-110,59,6968,118.1016949,2.67
8-111,27,4540,168.1481481,2.6
8-112,50,7949,158.98,2.6
8-113,46,8049,174.9782609,2.26
8-114,29,4465,153.9655172,2.61
8-115,47,5252,111.7446809,2.57
8-116,42,6326,150.6190476,2.52
8-117,40,5311,132.775,2.41
8-118,59,7638,129.4576271,2.43
8-119,30,4242,141.4,2.28
8-120,54,10211,189.0925926,2.46
8-121,43,8571,199.3255814,2.6
8-122,34,4912,144.4705882,2.31
8-201,38,6057,159.3947368,2.68
8-202,73,8876,121.5890411,2.46
8-203,33,5414,164.0606061,2.43
8-204,45,6114,135.8666667,2.31
8-205,48,6710,139.7916667,2.66
8-206,41,5837,142.3658537,2.49
8-207,54,5255,97.31481481,2.47
8-208,36,4695,130.4166667,2.55
8-209,45,6654,147.8666667,2.49
8-210,58,5424,93.51724138,2.71
8-211,36,6099,169.4166667,2.51
8-212,47,6352,135.1489362,2.35
8-213,45,7778,172.8444444,2.51
8-214,46,5837,126.8913043,2.43
8-215,54,8423,155.9814815,2.53
8-216,37,5482,148.1621622,3.25
8-217,48,3522,73.375,2.9
8-218,69,7561,109.5797101,2.72
8-219,42,4170,99.28571429,2.46
8-220,43,6926,161.0697674,2.67
8-221,40,6712,167.8,2.77
8-222,40,6427,160.675,2.43
8-301,36,4830,134.1666667,2.58
8-302,50,7037,140.74,2.84
8-303,38,5264,138.5263158,3.16
8-304,49,7377,150.5510204,2.9
8-305,40,5989,149.725,2.75
8-306,40,5712,142.8,2.16
8-307,45,6683,148.5111111,2.75
8-308,35,5120,146.2857143,2.29
8-309,36,5255,145.9722222,2.59
8-310,55,7688,139.7818182,2.92
8-311,42,5304,126.2857143,2.97
8-312,55,6853,124.6,2.68
8-313,48,7383,153.8125,2.91
8-314,36,4644,129,2.67
8-315,82,5704,69.56097561,2.64
8-316,37,6025,162.8378378,2.11
8-317,33,4616,139.8787879,2.91
8-318,59,6739,114.220339,2.26
8-319,39,6261,160.5384615,2.64
8-320,44,6148,139.7272727,2.82
8-321,47,6065,129.0425532,2.77
8-322,41,5965,145.4878049,2.94
9-101,32,5248,164,2.76
9-102,41,5347,130.4146341,2.64
9-103,40,5332,133.3,2.36
9-104,32,4175,130.46875,2.67
9-105,44,4540,103.1818182,2.65
9-201,44,4947,112.4318182,2.81
9-202,38,5914,155.6315789,2.94
9-203,46,4621,100.4565217,2.74
9-204,36,5064,140.6666667,2.63
9-205,38,6403,168.5,2.37
9-301,75,13464,179.52,2.71
8-302,37,6116,165.2972973,2.58
9-303,52,6732,129.4615385,2.3
9-304,59,9134,154.8135593,2.63
8-305,40,6970,174.25,2.73
